candidate_id,age,10th_score,12th_score,12th_stream,grad_course,grad_stream,grad_score,languages_known,known_skills,additional_certifications,internship_experience,reservation_category,qualification_level,location_preference,applied_for_internship
67,23,81,75,,,,,"Punjabi,Assamese","Cybersecurity,SQL",,,SC,10th,Mumbai,True
68,24,87,83,Commerce,,,,"Kannada,Odia,Punjabi","Operations,Java,Python",,,OBC,12th,Delhi,True
69,20,85,82,,,,,Punjabi,"Finance,Java",,,SC,10th,Delhi,True
70,21,89,70,Science,M.Sc,General,84.0,"Urdu,Assamese,Marathi","Python,Communication",Food Safety Cert,Food Science Intern,General,Postgraduate,Delhi,True
71,21,78,70,Arts,,,,Assamese,"Operations,React,SQL",,,ST,12th,Pune,True
72,24,74,72,Science,,,,Bengali,"Teamwork,Java,SQL",,,ST,12th,Pune,True
73,25,70,73,Science,MBA,General,95.0,"Marathi,Bengali,Tamil","AI/ML,SQL,Lab Work,Networking",MS Office Cert,HR Intern,SC,Postgraduate,Bangalore,True
74,23,71,74,Commerce,BE,General,87.0,English,"Cybersecurity,Python,AI/ML,SQL",AI Cert,Cyber Security Intern,General,Graduate,Bangalore,True
75,21,79,80,Commerce,,,,Assamese,"React,Cybersecurity",,,ST,12th,Kolkata,True
76,22,76,72,Science,M.Tech,General,75.0,"Kannada,Telugu","Finance,React,AI/ML",AI Cert,HR Intern,ST,Postgraduate,Indore,True
77,21,82,74,Commerce,MBA,General,77.0,"Odia,Assamese,Tamil","Operations,Lab Work,Research",Finance Cert,,OBC,Postgraduate,Bangalore,True
78,24,81,76,Commerce,MBA,General,87.0,"Marathi,Bengali","Lab Work,Cybersecurity,Operations",Food Safety Cert,,General,Postgraduate,Mumbai,True
79,23,70,79,Commerce,M.Sc,General,89.0,"Bengali,Hindi","Operations,Marketing",AI Cert,,SC,Postgraduate,Delhi,True
80,23,88,74,Arts,,,,"Bengali,Punjabi,Malayalam","Teamwork,Python,Research,Operations",,,General,12th,Jaipur,True
81,24,93,79,Science,B.A,General,70.0,"Kannada,English","Lab Work,Finance",,Food Science Intern,SC,Graduate,Mumbai,True
82,22,86,83,Arts,,,,"Punjabi,Telugu","Java,Communication,AI/ML",,,ST,12th,Chennai,True
83,21,79,80,Science,,,,"Urdu,Assamese","Operations,React",,,SC,12th,Indore,True
84,25,76,73,,,,,"Assamese,Malayalam,Punjabi","Communication,Teamwork,Marketing,Java",,,OBC,10th,Pune,True
85,24,80,76,Commerce,,,,"Kannada,Urdu,Bengali","SQL,Lab Work",,,ST,12th,Jaipur,True
86,20,90,80,Commerce,,,,Gujarati,"Communication,Research",,,SC,12th,Lucknow,True
87,21,91,75,Commerce,,,,Urdu,"AI/ML,Networking",,,ST,12th,Hyderabad,True
88,25,78,74,Commerce,,,,"Bengali,Hindi","Java,Lab Work,Research,Communication",,,SC,12th,Mumbai,True
89,23,88,71,Science,,,,"Urdu,Telugu,Bengali","Marketing,SQL,Communication,Finance",,,SC,12th,Ahmedabad,True
90,22,86,86,,,,,"Urdu,Gujarati","Operations,Marketing,Networking",,,General,10th,Lucknow,True
91,20,87,90,Commerce,M.Tech,General,86.0,"Odia,Kannada,Marathi","AI/ML,Python,Research",Finance Cert,Mechanical Intern,OBC,Postgraduate,Delhi,True
92,20,86,90,Commerce,B.Tech,Mechanical,70.0,"English,Bengali,Assamese","Java,Python,Operations,Networking",,,SC,Graduate,Lucknow,True
93,20,89,86,Arts,M.Sc,General,91.0,"Marathi,Malayalam,Urdu","SQL,Teamwork",Research Cert,,ST,Postgraduate,Mumbai,True
94,23,80,87,,,,,"Telugu,Punjabi","Operations,Marketing,Networking,Cybersecurity",,,ST,10th,Delhi,True
95,25,85,74,,,,,"Punjabi,Assamese,Hindi","Teamwork,Communication",,,General,10th,Hyderabad,True
96,23,95,71,,,,,"Malayalam,Odia","Research,Finance",,,SC,10th,Delhi,True
97,22,83,72,Arts,,,,Telugu,"Python,SQL,Communication",,,General,12th,Pune,True
98,21,70,75,Arts,,,,Telugu,"Operations,Teamwork,React,Cybersecurity",,,OBC,12th,Mumbai,True
99,23,86,86,Commerce,MBA,General,77.0,Telugu,"Teamwork,Marketing",AI Cert,Cyber Security Intern,General,Postgraduate,Indore,True
100,23,88,75,Commerce,B.Sc,HR,78.0,"Telugu,Assamese,Urdu","Java,Research",AI Cert,Technical Intern,ST,Graduate,Jaipur,True
101,21,88,88,Arts,B.A,HR,68.0,"Hindi,Urdu,Telugu","Finance,Lab Work",,,OBC,Graduate,Pune,True
102,25,82,81,Science,,,,"Telugu,Odia","React,Teamwork",,,SC,12th,Ahmedabad,True
103,24,91,84,Science,B.A,General,81.0,"Bengali,Punjabi","Networking,Python",Cybersecurity Cert,Food Science Intern,ST,Graduate,Indore,True
104,25,74,85,Science,,,,Odia,"Finance,Lab Work,React,AI/ML",,,OBC,12th,Bangalore,True
105,25,92,78,,,,,"Bengali,Marathi,Gujarati","Networking,Python,Research,Operations",,,ST,10th,Hyderabad,True
106,23,91,84,Commerce,B.Com,Mechanical,89.0,"English,Telugu,Urdu","React,Operations,Lab Work,Java",Research Cert,Food Science Intern,General,Graduate,Indore,True
107,21,89,88,Science,,,,"Odia,Marathi,Gujarati","Lab Work,AI/ML,Marketing,React",,,General,12th,Bangalore,True
108,23,78,86,,,,,"Bengali,English","Lab Work,Research",,,SC,10th,Hyderabad,True
109,25,72,75,,,,,"English,Telugu,Tamil","Operations,Communication,Research,Marketing",,,General,10th,Pune,True
110,23,86,90,Science,B.Sc,Mechanical,76.0,"Kannada,Marathi","Networking,Lab Work",,HR Intern,ST,Graduate,Chennai,True
111,22,92,90,Science,M.Tech,General,88.0,"Telugu,Odia,Punjabi","React,AI/ML,Marketing",Finance Cert,Food Science Intern,OBC,Postgraduate,Bangalore,True
112,25,81,74,Science,,,,Urdu,"Networking,Cybersecurity,Teamwork,AI/ML",,,General,12th,Pune,True
113,22,82,70,Commerce,B.A,Computer Science,77.0,"Marathi,English","Research,Cybersecurity",AI Cert,,OBC,Graduate,Kolkata,True
114,24,70,83,,,,,"Odia,Urdu,Punjabi","React,Operations,Lab Work",,,SC,10th,Mumbai,True
115,24,76,79,,,,,"English,Malayalam","React,Operations,Cybersecurity,Java",,,General,10th,Delhi,True
116,21,83,87,Arts,,,,Hindi,"Teamwork,Marketing,Networking",,,OBC,12th,Chennai,True
117,22,90,85,,,,,"Malayalam,Kannada,Urdu","Teamwork,Communication,Networking,React",,,OBC,10th,Hyderabad,True
118,21,79,87,,,,,"Telugu,Assamese,Bengali","Networking,SQL,Marketing",,,General,10th,Delhi,True
119,25,71,80,Commerce,,,,"Telugu,Assamese,Gujarati","Finance,SQL,Communication",,,General,12th,Mumbai,True
120,24,88,74,Commerce,B.Tech,General,80.0,"Kannada,Punjabi","Teamwork,Communication",Finance Cert,HR Intern,SC,Graduate,Mumbai,True
121,20,81,73,Commerce,B.Com,General,68.0,Urdu,"Java,React,Research",Research Cert,Food Science Intern,ST,Graduate,Lucknow,True
122,25,77,75,Commerce,,,,Marathi,"Teamwork,Lab Work",,,SC,12th,Hyderabad,True
123,25,78,82,Science,BE,General,90.0,"English,Assamese,Tamil","Python,Research,Lab Work",Research Cert,Technical Intern,ST,Graduate,Lucknow,True
124,24,85,78,,,,,"Telugu,Tamil,Gujarati","Lab Work,Communication,Marketing",,,General,10th,Bangalore,True
125,25,85,80,Arts,,,,"Bengali,Urdu","Lab Work,Java,React,Teamwork",,,SC,12th,Hyderabad,True
126,21,77,85,Commerce,,,,Kannada,"Java,Networking,SQL",,,SC,12th,Mumbai,True
127,23,72,86,Science,B.Com,General,78.0,"Bengali,Marathi,Gujarati","Java,Operations,React",,Mechanical Intern,OBC,Graduate,Pune,True
128,22,83,84,Arts,,,,"Telugu,Bengali,Marathi","Cybersecurity,Operations",,,OBC,12th,Bangalore,True
129,22,77,90,Arts,B.Tech,HR,86.0,Malayalam,"Research,Lab Work,Networking",MS Office Cert,,OBC,Graduate,Delhi,True
130,23,95,78,Science,,,,"Bengali,Kannada,Marathi","Teamwork,Lab Work",,,OBC,12th,Delhi,True
131,25,70,77,Science,B.Com,Finance,82.0,"Marathi,Kannada,Urdu","Communication,SQL,Cybersecurity,Python",MS Office Cert,Research Intern,OBC,Graduate,Indore,True
132,23,73,71,Commerce,M.Sc,General,84.0,"Tamil,Gujarati,Telugu","Cybersecurity,Python,AI/ML,React",Cybersecurity Cert,Cyber Security Intern,SC,Postgraduate,Jaipur,True
133,22,91,86,Arts,M.Tech,General,92.0,"Malayalam,Urdu","Lab Work,SQL",Finance Cert,,SC,Postgraduate,Indore,True
134,25,94,75,Commerce,,,,"Malayalam,Kannada","React,AI/ML",,,SC,12th,Ahmedabad,True
135,20,75,84,,,,,"Urdu,Gujarati","Lab Work,Cybersecurity,Marketing",,,OBC,10th,Mumbai,True
136,25,77,86,Science,,,,"Odia,Malayalam","Teamwork,SQL",,,ST,12th,Pune,True
137,20,73,90,Science,M.Tech,General,84.0,Kannada,"SQL,Lab Work,Networking,Finance",Finance Cert,Mechanical Intern,SC,Postgraduate,Kolkata,True
138,24,73,76,Commerce,,,,"Tamil,Gujarati,Odia","Java,Finance,Cybersecurity",,,OBC,12th,Indore,True
139,24,94,72,Commerce,,,,"English,Marathi","Research,Operations,Cybersecurity,AI/ML",,,ST,12th,Indore,True
140,24,76,87,,,,,"Telugu,Punjabi","Operations,Lab Work,Python",,,SC,10th,Chennai,True
141,25,82,82,Science,B.Tech,General,88.0,"Gujarati,Bengali","Cybersecurity,Operations,React,Java",MS Office Cert,Cyber Security Intern,OBC,Graduate,Chandigarh,True
142,23,70,78,,,,,"Malayalam,English,Gujarati","Marketing,Communication,AI/ML",,,General,10th,Ahmedabad,True
143,23,83,70,Arts,,,,"Urdu,English,Assamese","Finance,Python",,,ST,12th,Mumbai,True
144,21,78,84,Arts,,,,"Kannada,Odia,Malayalam","Teamwork,Networking",,,OBC,12th,Chennai,True
145,20,75,89,,,,,"Marathi,Bengali","Python,Communication,Marketing,Operations",,,OBC,10th,Indore,True
146,22,78,70,Arts,M.Sc,General,77.0,"Hindi,Kannada","Communication,Python,Java",Research Cert,Cyber Security Intern,OBC,Postgraduate,Pune,True
147,21,85,78,Arts,MBA,General,86.0,"Bengali,Telugu","Cybersecurity,Operations,Research,Networking",Cybersecurity Cert,,ST,Postgraduate,Jaipur,True
148,20,76,82,,,,,"Assamese,Malayalam","Marketing,React,AI/ML,Cybersecurity",,,SC,10th,Bangalore,True
149,23,83,80,,,,,"Gujarati,English","Lab Work,Cybersecurity,Teamwork",,,General,10th,Pune,True
150,23,83,76,,,,,"Telugu,Hindi","Finance,AI/ML,Networking,Lab Work",,,ST,10th,Chandigarh,True
151,24,75,85,Arts,B.Sc,HR,66.0,"Kannada,English,Hindi","Finance,Operations,Teamwork",,Marketing Intern,SC,Graduate,Bangalore,True
152,24,75,76,Science,,,,"Punjabi,Kannada,Odia","React,Python,SQL",,,OBC,12th,Hyderabad,True
153,24,84,81,Science,BE,Finance,75.0,"Gujarati,Urdu,Assamese","AI/ML,Communication,Python",,,SC,Graduate,Kolkata,True
154,24,72,71,Arts,MBA,General,83.0,Malayalam,"Operations,Java,SQL,Finance",MS Office Cert,Mechanical Intern,OBC,Postgraduate,Chennai,True
155,21,91,80,Science,B.Tech,HR,89.0,Assamese,"Finance,Research,Marketing,Communication",,Food Science Intern,OBC,Graduate,Ahmedabad,True
156,22,88,74,Science,BE,HR,81.0,Gujarati,"Marketing,Lab Work,Research,Networking",Finance Cert,,OBC,Graduate,Hyderabad,True
157,25,78,90,Commerce,M.Tech,General,83.0,"English,Punjabi,Marathi","Finance,Operations,React",MS Office Cert,Mechanical Intern,SC,Postgraduate,Chandigarh,True
158,22,80,89,,,,,"Telugu,Punjabi","Finance,Research",,,ST,10th,Pune,True
159,24,73,80,Arts,M.Tech,General,94.0,"Tamil,Punjabi,Odia","Research,Python,Cybersecurity",AI Cert,Marketing Intern,SC,Postgraduate,Bangalore,True
160,22,91,82,Arts,,,,"Hindi,Telugu,Gujarati","Marketing,Research,Cybersecurity",,,ST,12th,Ahmedabad,True
161,22,89,75,Arts,M.Sc,General,76.0,"Punjabi,Telugu","Networking,Python",Finance Cert,HR Intern,General,Postgraduate,Jaipur,True
162,21,94,80,,,,,"Kannada,Tamil,Bengali","AI/ML,Networking,Communication,React",,,ST,10th,Delhi,True
163,24,80,77,Science,,,,"Kannada,Malayalam","Communication,SQL,React",,,SC,12th,Delhi,True
164,22,79,74,,,,,"Assamese,Odia","Java,Networking",,,OBC,10th,Hyderabad,True
165,23,85,85,,,,,"Odia,Gujarati","React,Networking",,,OBC,10th,Kolkata,True
166,25,87,78,Science,,,,"Gujarati,Bengali,Odia","Marketing,Communication,Teamwork,React",,,OBC,12th,Ahmedabad,True
167,24,74,87,Arts,,,,"Hindi,Tamil","Networking,AI/ML,Operations",,,SC,12th,Chennai,True
168,22,85,84,Commerce,B.A,General,90.0,"Punjabi,Malayalam,Odia","Research,Finance,Operations",,,ST,Graduate,Kolkata,True
169,22,83,88,Arts,B.Com,General,71.0,"Punjabi,English","Cybersecurity,Python,Marketing,SQL",Finance Cert,Food Science Intern,ST,Graduate,Jaipur,True
170,21,87,80,,,,,Tamil,"Research,Python",,,SC,10th,Delhi,True
171,23,85,84,,,,,"Kannada,Tamil","Marketing,Cybersecurity,Lab Work,Python",,,ST,10th,Delhi,True
172,22,76,82,Commerce,MBA,General,77.0,"Malayalam,Bengali,Telugu","Python,Teamwork,SQL",Food Safety Cert,HR Intern,General,Postgraduate,Hyderabad,True
173,22,77,89,,,,,"English,Gujarati","Finance,Networking",,,General,10th,Chandigarh,True
174,20,72,85,Arts,MBA,General,89.0,"Marathi,Odia,Malayalam","Cybersecurity,AI/ML,Python,Teamwork",Research Cert,HR Intern,General,Postgraduate,Jaipur,True
175,24,87,70,Science,,,,"Odia,Tamil","Operations,Teamwork,React",,,General,12th,Chennai,True
176,20,85,73,Commerce,,,,"Gujarati,Bengali,Telugu","Operations,Communication,React,Networking",,,ST,12th,Hyderabad,True
177,22,85,71,Commerce,M.Tech,General,76.0,"Odia,Gujarati","Research,Teamwork,Java,AI/ML",Food Safety Cert,,ST,Postgraduate,Bangalore,True
178,23,88,79,Arts,M.Sc,General,76.0,"Odia,Telugu","Java,AI/ML,Finance",Food Safety Cert,Cyber Security Intern,General,Postgraduate,Mumbai,True
179,21,80,90,Arts,,,,Odia,"AI/ML,Lab Work,Communication,Finance",,,General,12th,Pune,True
180,20,72,90,,,,,"Kannada,Punjabi","Networking,Marketing,Teamwork,Communication",,,General,10th,Bangalore,True
181,25,89,80,Science,MBA,General,80.0,"Telugu,Tamil,Assamese","Research,Networking",AI Cert,Mechanical Intern,ST,Postgraduate,Mumbai,True
182,23,73,71,Science,MBA,General,92.0,English,"Finance,Communication,Teamwork",Cybersecurity Cert,Food Science Intern,OBC,Postgraduate,Chennai,True
183,23,81,82,Science,M.Tech,General,85.0,"Bengali,Urdu,English","Operations,Finance,AI/ML",MS Office Cert,Food Science Intern,SC,Postgraduate,Bangalore,True
184,23,92,88,Science,,,,Odia,"Operations,SQL,React",,,ST,12th,Lucknow,True
185,20,92,80,Commerce,B.Com,Finance,85.0,Gujarati,"React,Operations,Teamwork,Marketing",AI Cert,Cyber Security Intern,OBC,Graduate,Pune,True
186,22,82,86,,,,,Marathi,"Operations,React,Marketing",,,ST,10th,Hyderabad,True
187,25,85,78,,,,,"Bengali,Telugu","SQL,Lab Work,AI/ML",,,SC,10th,Kolkata,True
188,23,74,77,Science,BE,HR,68.0,"Gujarati,Malayalam,English","Networking,Java",,,OBC,Graduate,Chandigarh,True
189,20,78,85,,,,,"Tamil,Hindi","Research,Finance",,,OBC,10th,Chennai,True
190,22,74,88,Commerce,BE,Mechanical,66.0,Gujarati,"SQL,Communication,Research",,,General,Graduate,Chennai,True
191,23,74,77,Science,BE,Electrical,67.0,Hindi,"Java,React,Research",AI Cert,,ST,Graduate,Indore,True
192,25,79,73,Arts,M.Sc,General,82.0,"Bengali,Tamil,Gujarati","Finance,AI/ML,Python,Networking",MS Office Cert,Marketing Intern,OBC,Postgraduate,Jaipur,True
193,25,86,73,Commerce,,,,"Punjabi,Bengali,Tamil","Communication,Marketing,Java,Teamwork",,,SC,12th,Ahmedabad,True
194,25,88,72,Arts,,,,"Assamese,English,Telugu","React,Operations",,,OBC,12th,Bangalore,True
195,23,87,87,Commerce,,,,Telugu,"Finance,Operations",,,ST,12th,Indore,True
196,24,86,78,Science,M.Sc,General,86.0,"Hindi,Punjabi,Tamil","Lab Work,Networking",Food Safety Cert,,ST,Postgraduate,Mumbai,True
197,24,71,87,Commerce,M.Tech,General,95.0,"Punjabi,English","SQL,Finance,Teamwork",MS Office Cert,Marketing Intern,SC,Postgraduate,Bangalore,True
198,22,75,71,Arts,,,,"Telugu,Malayalam,Tamil","Research,Networking,Lab Work",,,General,12th,Delhi,True
199,24,73,81,,,,,Assamese,"Marketing,SQL,Research",,,ST,10th,Hyderabad,True
200,24,85,89,,,,,Assamese,"Teamwork,Python,React",,,ST,10th,Kolkata,True
201,21,91,83,Science,,,,"Kannada,Gujarati","SQL,Finance",,,SC,12th,Mumbai,True
202,22,82,87,Science,B.Tech,Mechanical,81.0,Bengali,"Cybersecurity,Teamwork,Python,Research",,,SC,Graduate,Chandigarh,True
203,20,91,77,Commerce,B.Tech,HR,90.0,"Tamil,Odia,Assamese","Teamwork,Research,Finance,Cybersecurity",Cybersecurity Cert,Mechanical Intern,SC,Graduate,Chennai,True
204,20,71,72,Commerce,B.A,General,65.0,"Tamil,Urdu,Bengali","Operations,Cybersecurity,Lab Work,Marketing",AI Cert,,General,Graduate,Mumbai,True
205,24,78,76,Science,,,,"Urdu,Punjabi,Assamese","Research,Cybersecurity,AI/ML,Finance",,,General,12th,Jaipur,True
206,21,88,78,,,,,Kannada,"Java,Lab Work,SQL,Python",,,OBC,10th,Jaipur,True
207,22,93,71,,,,,English,"AI/ML,Networking,Cybersecurity",,,General,10th,Pune,True
208,25,95,81,Commerce,,,,"English,Bengali","Teamwork,Lab Work",,,ST,12th,Indore,True
209,22,95,84,Commerce,B.Com,Mechanical,80.0,Urdu,"Marketing,Teamwork,Networking,React",AI Cert,Marketing Intern,ST,Graduate,Kolkata,True
210,24,92,85,Commerce,M.Sc,General,85.0,Bengali,"Cybersecurity,Python,SQL,Networking",Research Cert,Marketing Intern,OBC,Postgraduate,Hyderabad,True
211,23,72,89,Commerce,,,,"Urdu,Hindi,Telugu","Research,Communication,AI/ML,Cybersecurity",,,ST,12th,Jaipur,True
212,24,73,83,Commerce,,,,"Kannada,Marathi","Communication,Networking",,,SC,12th,Pune,True
213,21,72,83,Science,,,,"Gujarati,Marathi,Bengali","Lab Work,Networking,Marketing,Java",,,OBC,12th,Pune,True
214,20,80,88,Commerce,BE,General,73.0,Odia,"Networking,Python",Research Cert,Marketing Intern,General,Graduate,Lucknow,True
215,24,75,83,,,,,"Gujarati,English","Java,Lab Work",,,OBC,10th,Bangalore,True
216,24,93,86,Arts,B.A,Electrical,82.0,Telugu,"Finance,Research",MS Office Cert,,General,Graduate,Jaipur,True
