State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Assam,2014-15,0.5,0,3.9,0.5,2.2,1.3,0.8,3.1,12.9,10.5,6.9,13.8,14,8.5,6.6,8,5.2,-82.3,165.5,-4.5,21,10.8,5.3,1.6,32.6,13.4,12.5,7.6,10.1,6.6,7.9,1.3,6.5
Assam,2015-16,3.9,4.3,1.1,0.5,4.7,2.1,3.4,10.8,17.2,12.8,12.1,10.3,10.3,8.3,11.2,11,7.6,11.5,11.6,11.6,10.5,16.1,5.2,0.8,5.4,11.4,8.2,7.7,6.1,1.3,7.7,1.3,6.4
Bihar,2012-13,9.6,11.5,4.1,1.6,16.2,8.9,9.6,-33.8,9.8,-5.2,-13.2,6.4,6.9,-0.4,16.1,21.6,18.5,-51.3,76.9,16.9,6.2,9.8,8.4,2.4,-1.7,14,7.4,4.1,14.1,22.4,3.9,1.6,2.3
Bihar,2013-14,-12.5,-21.9,11.8,1.8,8,540.6,-10.8,94.5,2.8,6.5,27.8,-2.2,-2.7,4.5,15.2,18.5,14.2,-38.8,-29.4,15.2,-9.2,16.1,7.2,3.9,-4.5,8.6,3.8,3.6,15.6,-4.9,5,1.6,3.3
Bihar,2014-15,0.3,-4.5,9.7,1.6,11,-54.6,-0.9,0.6,33.4,0.8,3.4,40.2,42.4,8.5,10.1,-0.2,11.5,23.2,185.1,11.7,20,12.2,4.9,3.7,26.2,26.2,22,13.1,18.4,22.6,13,1.6,11.3
Bihar,2015-16,-1,-5.2,6,1.7,5.6,9.4,-0.8,24.4,15.1,5.5,13.4,15.6,16,8.4,9.3,-0.2,11.4,-4.5,-4.5,11.7,-4.4,10.7,4.9,3.9,-4,-1.1,7.2,6.7,21.9,22.2,7.1,1.6,5.5
Chandigarh,2012-13,-3.8,-1.2,-2.8,7.6,-79.6,-14.3,-4,6.3,2.2,-7.6,-0.7,11.2,12.1,2.5,8.5,10.9,15,NA,97.8,7.8,-1.8,-3.2,11.5,4.9,11.1,7.6,9.3,8,16,16.1,8,1.5,6.4
Chandigarh,2013-14,1.9,-4.1,1.9,7.7,125,-21.8,1.5,15,-2.1,8,10.2,8.4,9,2.5,6.7,27,0.6,NA,-13.9,11.3,5.6,13,1,11.8,-1,9.4,7.1,7.4,23.7,-20.8,8,1.5,6.5
Chandigarh,2014-15,1.1,-2,1.2,7.4,5.6,-7.1,1,8.6,4.7,0.9,4.9,12.2,12.4,9.5,18.8,-22.5,19.4,NA,146.7,19.9,-17.2,6.7,6,9.3,4.9,3,9.7,9,11.5,-7.9,9.3,1.5,7.7
Chandigarh,2015-16,-1.3,0.4,-1.7,4.7,0.9,-2.1,-1.3,9.1,7.3,3.9,6.7,12.6,12.6,12.6,8.1,2.6,17,NA,2.7,2.7,2.6,2.7,10.3,11,6.6,6.5,10.8,10.2,7.7,-1.3,10.3,1.4,8.7
Chhatisgarh,2012-13,6.1,7,5,5.4,2,-2.4,2.5,9.2,34.6,-6,7.1,9.6,10.7,-2,11.5,10.2,10.3,NA,80.3,10.3,8.8,13.7,11.1,-0.8,2.5,2.5,4.6,4.8,12.8,19.1,5,1.6,3.3
Chhatisgarh,2013-14,2.8,3.2,4.9,-4.6,11.5,7.8,4.8,34.9,9.6,-1.5,18.4,10.6,10,16.3,11.7,4,9.2,NA,-24.4,10,14.5,21.5,3.6,8.8,17.5,-1.6,8.3,10.7,0.3,5,9.8,1.6,8.1
Chhatisgarh,2014-15,2.7,2.7,-0.5,-0.2,10.2,2,2.4,13.3,11.5,5.2,10.8,13.5,14.4,4.7,9.6,-2.4,9.1,NA,179.5,9.5,16.7,14.8,9.2,3.9,1.5,14.8,8.2,7.5,16.3,24,7.6,1.6,5.9
Chhatisgarh,2015-16,0.9,0.5,-1.1,-1.3,9,-4.1,-1.1,9.3,11.3,6.5,8.9,10.2,11.8,-8.8,11.8,4.4,9.7,NA,2.2,9.6,15,18.5,9.5,6.5,11,12.5,9.6,6.3,18.3,25,6.6,1.6,4.9
Chhatisgarh,2016-17,5.9,7.2,5.4,-2.2,8.2,2.3,4.4,7.5,7.3,6.1,7.1,7,6.4,16,11.4,0.3,9.9,NA,8.1,9.9,12.5,18.2,6.1,6.4,18.2,16.5,9.9,7.4,10.6,17.2,7.1,1.6,5.4
Delhi,2012-13,-22.1,-9.2,-26.1,-13.2,-6.7,-9.6,-12.9,17.6,64.9,-2.1,14.2,8.5,9.1,2.6,10.2,8.6,3.2,4.2,72.2,10.6,6.4,6.6,9.8,3.7,-15,3.8,5.4,5.9,12.1,11.2,6.6,1.9,4.6
Delhi,2013-14,-10.3,-22.6,-5.7,-8.9,-1.4,31.6,21.5,4.1,19.1,3,5.9,8.8,9.5,1.9,6.3,16,-4,-12.3,-20.7,7.7,7.6,15.7,5.3,6.8,-3.5,3.2,5.7,6.2,10,-6.8,6.9,1.9,4.9
Delhi,2014-15,-5.9,-29.4,1.3,-9.7,-0.9,0.4,-0.8,5.9,2.2,-1.4,2.7,2.3,1.7,9.3,13.4,6,2.5,8,192,8.5,6.1,11.6,7.1,15.9,2,10.8,9.9,8.5,2.2,-25.4,8,1.9,5.9
Delhi,2015-16,20.4,46.7,14.9,10.6,5.3,25.3,24.5,28.5,15.3,-3.4,15.6,6.2,5.8,10.8,6.3,0,-1,4.1,4,8.2,23.4,7.6,5,6.3,4,6.4,5.9,7.7,16.9,26.8,8.8,1.9,6.8
Delhi,2016-17,1.3,1.2,1.4,0.1,-10.1,7.1,6.1,22.4,6.1,-2.3,12.8,0.9,0.5,4.9,7.2,4.1,-0.2,4.6,20.1,7.1,10.3,7.8,5.8,13,3.5,9.2,7.6,8.3,8.7,21.5,8.3,1.9,6.2
Goa,2012-13,-4.1,0.5,-4.8,1.3,-12,-68,-52.6,-14.7,17.4,-4.9,-12.4,-8.3,-9.1,-1.5,-14.2,5.9,-7.7,-51.6,74.8,-19.9,21.9,1.2,16.6,6.6,3.4,5.1,1.4,-16.7,4.4,12.4,-15.4,0.7,-16
Goa,2013-14,13.6,6.6,10.9,-3.6,30.3,-98.4,-43.8,-26.9,27.8,10.8,-20.1,1.5,1.5,1.3,-10,-2.3,-6.2,-46.1,-13.6,-19.8,13.7,19.5,-0.4,7.5,6.7,9.4,3.2,-14.1,0.9,-36.5,-11.9,0.7,-12.5
Goa,2014-15,-1.6,-3.2,-6.5,1.6,1.9,13.3,-1.4,5.2,22.6,-0.3,6.6,27.1,29.5,8.8,38.7,6.2,-3.1,35,191.6,55.7,12,12.5,6.4,10.5,3.2,5.1,13.5,9.1,11.2,-7.4,9.6,0.7,8.9
Goa,2015-16,2,-1.1,41.6,-10.1,-3.7,21.7,2.3,9.6,24.5,2.8,10.8,17.3,18.1,9.8,-24.9,6.2,-3.1,11.8,-65.7,-31.4,12.1,-16,6.4,11.1,3.4,6.2,5.6,7.7,11.6,-7.2,8.4,0.7,7.7
Gujrat,2012-13,-13.8,-20.7,4.3,14.2,0.7,24,-8.2,23.3,10.6,3.2,18,18.3,18.3,NA,8.7,5.4,,NA,NA,10,2.9,6.9,15.3,5.7,6.8,11.7,12.4,10,17.2,9.9,10.9,1.3,9.4
Gujrat,2013-14,26.6,37.3,8.7,-12.8,9.4,-16,18.1,2.6,4.9,8.5,3.8,3,3,NA,3.3,3.1,,NA,NA,-1.5,10,17.2,11.1,8.7,3.5,10.1,5.9,7.3,9.1,7.3,7.6,1.3,6.2
Gujrat,2014-15,-0.5,-2.8,5.6,0.1,18.8,2.5,-0.1,7.5,13,2,7,14.4,14.4,NA,10.5,22.4,,NA,NA,8,20.1,11.8,10,8.3,5.2,6.9,10.5,6.8,14.1,7.1,7.8,1.3,6.4
Gujrat,2015-16,-1.3,-4.3,6.8,7.3,4.1,5.5,-0.3,11.5,8.5,6.9,10.4,7.5,7.5,NA,10.1,10.3,,NA,NA,9,10.5,12.5,13.1,11,8.5,10.2,9.7,8,16,6.9,9.2,1.3,7.8
Haryana,2012-13,-2,-5.7,6,-3.2,5.2,-23.4,-2,19.2,-2.1,-7.2,9.2,9,9.2,2.1,8.5,18.4,8.2,NA,NA,7.8,7.3,0.9,11.9,13.5,4.7,9.4,10.5,7.1,13.8,11.1,7.7,1.4,6.2
Haryana,2013-14,2.8,1.5,6.5,-2.5,-5.3,204.1,3.1,6.5,-13.6,11.1,7.2,5.3,5.4,1.7,9.2,1.9,8.1,NA,NA,7.5,-2.7,22,9.9,17,0.5,4.4,9.9,7.6,6,-16.3,8.2,1.4,6.7
Haryana,2014-15,-1.9,-6.8,7,-2.6,5.3,-11.4,-2,3.3,4.2,-0.1,2.3,12.7,12.6,16.7,12.3,13.1,11.8,NA,NA,11.2,-4.8,14.2,11.5,6.3,11.6,14.4,10.3,5.2,8.1,-1.8,5.7,1.4,4.2
Haryana,2015-16,2.9,1.2,6.2,-2.5,11.4,94.5,3.2,10,-7.4,3.9,7.7,13.3,13.1,17.6,10.3,6.9,9.2,NA,NA,8.8,0,17.6,5.6,11.7,5.9,10.5,10.9,8.4,11.7,0,9,1.4,7.5
Haryana,2016-17,6.4,7.9,4.6,-2.6,26.6,95.5,7,6.6,3.9,4.9,6.1,9,8.9,11.6,10.3,7.3,8.8,NA,NA,8.8,-0.2,17.6,8.6,12.1,12.9,12.7,10.8,8.6,7.9,0.1,8.7,1.4,7.2
Himachal Pradesh,2012-13,7,10.2,3.6,2.3,10.3,-1.6,6.8,6.9,0.5,5.8,5.4,4.1,5.5,-0.9,9.2,6.4,15.3,NA,69.3,25.7,1.2,0.6,8.6,10.8,7.6,8.8,8.4,6.8,4,12.7,6.4,0.9,5.5
Himachal Pradesh,2013-14,10.2,17.3,-6.7,1.5,14.8,-14.1,9.7,6.7,6.9,7,6.8,6.8,9.2,-2.3,23.4,17,25.4,NA,-16,4.8,-35.8,21.1,-2.5,9.1,-0.9,1.5,6,7,1.8,-7.9,7.1,0.9,6.1
Himachal Pradesh,2014-15,-4.9,-9,-1.2,3.1,11.6,6.7,-4.7,9.1,6.6,5.3,7.8,2.7,1.4,8.1,20.7,0.8,23.8,NA,173.1,2.1,5.7,14.9,8.9,12.4,15.2,14.8,12.4,7.4,7,4.8,7.5,0.9,6.5
Jammu & Kashmir,2012-13,-6.2,-10.8,-0.4,4.7,0.2,23.2,-5.5,-6.7,18.7,-2,2.3,12.7,15,-4.8,10,10.7,9.8,NA,8.5,9.7,,10.8,14.4,4,0.7,2.3,5.5,2.7,10.9,16.6,2.9,1.5,1.3
Jammu & Kashmir,2013-14,11.2,20.1,-3.1,3.7,-0.3,-44,9.4,2.3,3.3,10,5,4.7,5.8,-5.4,11.6,7.8,7.7,NA,8.5,7.7,,24.5,21.1,5.3,-6.6,14.2,5.1,5.8,6.6,-8.1,6.2,1.5,4.6
Jammu & Kashmir,2014-15,-16.2,-34.1,19.4,3.1,1.5,-1.6,-15.9,3.8,1.3,-11.5,-1.9,-4.9,-5.4,0.2,8.7,4.6,7.4,NA,4.5,7.6,,12.8,14.2,5.4,5.2,7.9,5,-0.5,-1.3,-9.1,-0.3,1.5,-1.8
Jammu & Kashmir,2015-16,23.1,26.1,28.2,2.6,3,89.7,24.4,0.4,5.2,6.3,3.8,12.2,15,-15,30.1,7.1,38.6,NA,43.2,38.9,,9.1,4.7,4.7,15.5,4.7,11.8,11.5,21.8,-2,12.5,1.5,10.9
Jharkhand,2012-13,5.9,11.6,-6.7,1.2,5.4,6.8,6.3,19.8,18.7,-6.6,11.7,11.7,11.1,19.5,10.3,15.9,7.1,NA,-6.4,13.9,-3.9,8.8,9.4,8,-12.5,11.9,6.1,8,12.3,21.1,8.2,1.6,6.4
Jharkhand,2013-14,-1.8,-4.5,3.5,0.9,8.5,-0.6,-1.3,-7.2,1.6,10.4,-2.2,8.8,9.6,-0.6,9.7,8.5,9.1,NA,75.6,-27.3,-10,16.8,2.9,5,-6.8,9.3,5.4,0.9,3.2,-15.1,1.6,1.6,-0.1
Jharkhand,2014-15,4.8,6.7,3.1,0.4,1.5,15.3,9.3,10.7,0.6,2.7,7.8,21.8,21.5,26.6,6.7,7.7,3.9,NA,155.1,-19.2,-21.4,11.8,8.1,14.6,11.3,22.8,15,11.1,23,3.7,12.5,1.6,10.7
Jharkhand,2015-16,12.6,16.1,5.6,7.5,9,8,10.5,12.5,12.4,11,12.1,23.3,23.2,24.6,16.5,16.6,15.5,NA,75.5,-4.8,-3.8,18.2,10,18,3.5,16.8,16.4,13.4,0,0,12.1,1.6,10.3
Karnatka,2012-13,-5.1,-7.9,4.3,-2.9,-2.4,-12.9,-5.5,6.6,-2.3,-5.2,2.2,6.6,7.7,1.3,8.7,13.6,9.1,-11,71.6,-20.2,5.6,5.8,10.1,14,11.9,9,11,6.1,8,10.4,6.2,1.1,5.1
Karnatka,2013-14,7.2,9.7,3.1,-2.7,4.5,42.8,9,5.1,5.5,12.8,7.4,10.2,12,1.1,7.9,-7.2,7.5,-18.2,-23.3,3.4,2.6,16.4,10,13.3,7.8,6.9,11,9.7,10.2,-13.2,10.5,1.1,9.3
Karnatka,2014-15,3.9,3.9,4.7,-1.9,11.9,31.1,5.8,7.7,8.8,-0.2,5.3,1.7,0.9,5.9,13.8,5.4,11.7,2.4,190.4,18.1,15,12.4,12.3,6.2,2.7,8.8,6.8,6.3,11.2,-11.3,7.3,1.1,6.1
Karnatka,2015-16,-8.7,-13.1,3.8,-1,-4.9,-16,-9.3,6.4,0.6,5.5,5.8,5.4,4.8,8.3,13.6,23.5,10.1,-0.4,33.2,12.8,8,18.7,6.7,12.9,0.2,11.9,10.4,6.6,9.8,-4.7,7.3,1.1,6.1
Kerala,2012-13,1.4,-1.2,9.3,0.1,-0.3,-16,0.5,12.5,-1,-3.1,2.8,13.8,15.1,3.1,5.1,21.6,6.5,-17.8,84.2,2.4,4.9,-4.6,6.8,13.6,-0.6,4.6,8.9,6,12.3,9.9,6.5,0.5,6
Kerala,2013-14,-6.3,-9.4,0.6,-16.1,5.7,50.1,-3.8,-4.6,8.1,9.2,3.5,2.2,2.7,-1.6,10.7,-1.3,9.7,-21.8,-21.9,-5.5,-27.3,23.5,11,14.3,-0.3,2.4,6.6,4.3,0.8,7.5,3.9,0.4,3.4
Kerala,2014-15,-1.1,-3.9,1.6,-1.1,8.4,39.1,1.7,2.5,-3.2,6.8,4.7,8.3,8.7,4,6.8,7.2,2.1,29.2,181.4,-2,10.1,13,8.4,11.9,2.9,6.9,8.3,6.5,12.4,-7.8,7.3,0.5,6.8
Kerala,2015-16,-2.9,-6.8,2.3,-0.5,2.1,6.2,-2.1,12.6,3.4,6.4,8.6,8,8.4,4,9.4,7.2,2.1,7,151.5,-3.2,11.8,13.5,8.4,12.1,3.9,6.8,8.8,7.3,12.4,-7.8,8.1,0.5,7.6
Madhya Pradesh,2012-13,24.5,28.1,16.9,1.2,13,10.6,22.9,3.6,1.9,-7,-1.1,10.9,11.6,0.7,14.8,36.8,9.1,NA,84.1,8.9,15.6,11.4,7.3,7.8,7.9,8.7,9.8,11.3,15.5,17,11.4,1.5,9.8
Madhya Pradesh,2013-14,-0.1,-1.9,16.9,-2.4,12.9,-3,-0.4,-6.7,15.3,8.3,1.8,3.8,3.9,2,5.8,-2.6,2.6,NA,-30.4,2.8,6.1,18.7,8.5,8.3,4.9,0.4,5,2.2,2.9,-20.5,3.6,1.5,2.1
Madhya Pradesh,2014-15,4.7,2.8,22.8,-2.6,13.4,-4.7,3.7,5.8,7.5,4.1,5.3,7.7,8.1,0.5,10.3,1.7,9.9,NA,323.1,9.7,5.4,13.9,2.5,9.6,9.9,8.8,8.1,5.8,1.7,5.9,5.4,1.5,3.9
Madhya Pradesh,2015-16,1.8,-1.2,21.7,-1.3,5.4,0.1,1.6,8.9,9.2,2.1,6.1,11.4,11.8,6,15.2,11.4,12.3,NA,-0.1,12.8,13.7,22.2,16.8,11.4,10.3,11,12.5,7.1,16.7,7.7,8,1.5,6.4
Madhya Pradesh,2016-17,22.4,25.8,14.7,0.4,13,0.6,20.4,7.4,6.6,5.9,6.7,8,8.2,3.7,11.4,3.5,7.9,NA,97.4,8.4,9.1,18.3,9.3,10.4,6.9,6.8,8.8,12.2,8.6,4.4,12.2,1.5,10.6
Maharashtra,2012-13,-1.9,-3.6,3.8,-1.8,0.9,4,-0.2,8.4,5.3,-2.8,5.6,10.6,11.7,2.2,8,3.4,6.9,40.7,70.4,10,1.6,4.9,7.4,8.4,1.9,9,8.2,5.9,13.6,19.7,6.6,1.2,5.4
Maharashtra,2013-14,12.6,19.6,1.1,-6.5,2,-20.2,3,5.7,0.5,2.4,4.6,0.1,0,1.3,5.7,2.8,6.3,-13.5,-26.1,3.9,7.6,11.6,8.5,10,1.8,11.4,7,5.6,9,-1.6,6.2,1.2,5
Maharashtra,2014-15,-16,-23.4,4.1,-3,7,22.6,-7.2,4.6,18.7,1.2,4.9,8.4,8.7,5.4,10,7,7.3,25.4,16.9,8.4,8.2,15.2,7.5,11.7,8,12.2,10,5.6,7.4,10.7,5.8,1.2,4.5
Manipur,2012-13,9.9,15.7,3.2,-4.1,16.7,,9.9,-29.5,2.7,-1.7,-6.3,-16.3,-17.2,2.8,14.7,50,13.6,NA,61.6,13.7,NA,12.8,3,1.1,0.8,10.8,1.4,1.9,-13,34.5,0.5,2.2,-1.6
Manipur,2013-14,4.8,5,2.9,-0.8,17.8,,4.8,42.9,-2.7,12.6,12.7,45.7,48.2,2.5,7.5,66.7,2.1,NA,-32.8,2,NA,23.4,8.9,0.5,-7.3,-1.2,5.8,6.6,56.3,-9.6,8.7,2.2,6.4
Manipur,2014-15,-1.8,-3.2,1.8,-0.9,-2.1,,-1.8,3.5,-20.8,16.4,4.1,18.6,19,8.6,11.6,0,5.9,NA,147.4,5.9,NA,11.9,5.7,1.9,11.6,10.2,11.1,7.3,16.4,56.3,6.5,2.2,4.2
Meghalaya,2012-13,11,19.1,0.5,-2.6,26.1,-18.1,1.4,0.4,0.8,-14.6,-2.3,15.9,17,1.9,11.1,NA,9.5,NA,72.6,NA,3.1,15,-0.7,1.9,-5.1,2,5.6,2,10.6,21.5,2.2,2.2,0
Meghalaya,2013-14,4.2,2.1,11.9,2.8,6.2,45.1,15.1,-17.9,11.7,3.4,-12.3,10,10.4,3.1,6,NA,2.2,NA,-18.7,NA,7.7,16.9,0.1,2.8,5.6,6.3,6.5,2.5,-10.7,-11.6,1.8,2.2,-0.3
Meghalaya,2014-15,2.7,3.9,0.6,0.8,5,-56.6,-17.2,5.6,-4.7,17.2,6.8,0.3,-0.5,12.6,12,NA,14.8,NA,169.7,NA,-78.8,4.3,10.5,4.7,8.9,11.8,6.3,0.6,16.9,-9.6,2.1,2.1,-0.1
Meghalaya,2015-16,5.6,6.1,1.4,0.5,87.8,1.9,5,6.9,0.9,2.2,5.4,9.1,8.6,16.4,15,NA,16.5,NA,17.1,NA,13.2,11.1,6.2,4,-0.5,10.4,7.4,6.3,4.9,-1,6.4,2.2,4.2
Meghalaya,2016-17,4.9,6.1,2.1,1,19.8,1.6,4.4,6.2,3.2,1,4.9,8.7,8.3,13.5,17.6,NA,18.5,NA,19,NA,16.9,14.8,5.2,3.3,3.9,10.5,8.5,6.6,3.1,-7.5,6.7,2.1,4.4
Mizoram,2012-13,-2.4,-3.8,-2.6,-0.8,9.2,-24.8,-3.1,0.5,11.8,-8.6,-1.1,20.2,20.7,5.1,13.2,10,12.1,20.6,71.8,NA,NA,14.7,-4.3,2.2,17.4,8.6,12.5,6.6,8.8,-2.2,7.2,2.1,4.9
Mizoram,2013-14,7.6,13.6,4.1,-0.3,1.7,207.9,12.7,6,55.4,22.5,34.6,3.6,3.5,4.6,13.7,-6.1,13.1,-28.3,-18.6,NA,NA,18.3,2.6,3.4,7.2,4.1,5.6,12.3,30.6,-53.6,16.2,2.1,13.8
Mizoram,2014-15,4.9,5.4,10.7,-1.6,8.1,-36.7,2,3.9,18.4,11.3,14.2,10.9,10.9,11.6,10.1,-12.9,9.2,-28.3,172.2,NA,NA,11.8,7.6,2.8,2.4,0.5,4.3,6,19.5,2.1,6.6,2.1,4.4
Nagaland,2012-13,5,13.1,-7.1,-3.1,4.2,-32.5,4.5,21.3,14.1,0.2,5.1,8,8.3,2.4,2.2,19.1,5.4,-51.5,72.7,NA,42.9,-2.4,9.2,7.6,-2.1,15.8,6.6,5.7,3.2,17.3,5.1,1.1,4
Nagaland,2013-14,11,19.5,-2.3,-0.7,4.7,83.7,11.7,-23.6,-20.1,-22.7,-22.3,-4.5,-4.4,-5.3,7.1,-36.2,-7.7,-36.6,-18.6,NA,-23.3,33.6,0.3,-2.6,34.5,12.2,11,7.1,19.8,-60.3,11.1,1.1,9.9
Nagaland,2014-15,2.2,3.1,-0.7,1.4,4.9,12.3,2.3,1,3.5,22,15.5,-12.9,-12.5,-20.1,7.7,0.3,0.7,26.4,169.7,NA,7.2,7.6,5.7,-3.5,1,4,0,2.1,10.1,16,2.1,1,1
Odisha,2012-13,15.7,23.2,2.2,-3.3,14.6,-3.9,7.8,-2.8,9.8,-2.4,-1.8,11.2,12.2,2.4,10.5,24.2,12.6,-1.3,105.5,5.9,6.9,0.6,12.8,3.4,6.6,0.2,6.9,4.5,5.2,3.8,4.6,1,3.6
Odisha,2013-14,-5.2,-9,9.5,-0.1,-2.3,23.1,5,20,-7.2,6.7,13.6,7.1,7.6,2.4,6.9,11.1,6.3,-3.7,-29.8,7.7,4.6,7.2,3.4,6.1,34.6,-4.4,7.1,8.3,5.7,-6.8,8.7,1,7.6
Odisha,2014-15,8.9,12.1,-3.8,4.5,12.3,-11.1,0.4,10.4,11,0.1,7.5,11.5,11.7,9.1,10.5,19.4,6.7,14.9,182.9,16.4,19.9,8.4,9.6,6.5,-7,12.9,8.1,5.6,8.6,1.8,6,1,4.9
Odisha,2015-16,-13.7,-22.5,3.5,2.7,11.4,17.1,-2.1,4.2,10.6,4,4.6,13.2,13.4,11.7,12,9.9,14.5,1.9,7.1,4.7,5.7,11.4,9.1,10.5,3.7,12.1,10.9,5.2,8.1,-10.9,6,1,4.9
Odisha,2016-17,14.4,20.8,2.9,1.5,12,2.1,8.9,6.3,6.6,3.1,5.5,7.2,7.3,6.5,9.5,11.9,9.6,3.5,18.4,8,8.3,8,7.8,7.4,8.7,8.6,8.1,7.5,8.3,-5.7,7.9,1,6.9
Puducherry,2012-13,5.2,14,3.6,-7.1,0.5,31.9,11.9,-2.8,6.7,-10,-5,18.4,21.1,1.4,4.7,-3,5.9,-7.1,NA,6.4,-17.6,4.5,6,4.1,-3.3,7.2,7.4,1.9,10.2,7.3,2.9,2.7,0.2
